"i","j","P_ij","F_ij"
14,4,0.996145833827824,0.512789959968709
15,4,0.990621270879329,0.521536482029243
16,4,0.980004608342058,0.538210842818372
17,4,0.963866628305787,0.542973223698262
18,4,0.942207938093268,0.526702607861586
19,4,0.912212307603954,0.500864238902501
20,4,0.869418205069006,0.484094368701768
21,4,0.816141102452969,0.484010375712568
22,4,0.76867533175038,0.490571522610765
23,4,0.74581883856962,0.482277279001652
24,4,0.748357383987578,0.445352611409156
25,4,0.759302933874565,0.389501732822099
26,4,0.761441597340696,0.33791475092679
27,4,0.749404415780477,0.306823518350594
28,4,0.730440578564253,0.299345583941413
29,4,0.717262847270043,0.309405482611114
30,4,0.715196604791619,0.325851466553886
1,5,0.999998747085737,0.110624991660757
2,5,0.999997983417071,0.266764079873134
3,5,0.99999671059324,0.546251465904333
4,5,0.999994623737802,0.814147943139488
5,5,0.999991116759947,0.859686145444716
6,5,0.999984858901861,0.72190956132518
7,5,0.999973186463684,0.576404447275926
8,5,0.999951496603793,0.500891930703535
9,5,0.999912453135091,0.488915889750342
10,5,0.999841919446048,0.507655507690667
11,5,0.999702139558866,0.521421550560664
12,5,0.999380743962571,0.513690535623058
13,5,0.998553113850334,0.496213018229353
14,5,0.996396813393291,0.489085503961406
15,5,0.991408354316407,0.499172114372982
16,5,0.982221579434179,0.515493214881415
17,5,0.9689193548887,0.519310262913905
18,5,0.951532012466785,0.503095477708007
19,5,0.926840683103141,0.478850337413085
20,5,0.889141352360056,0.464597097611569
21,5,0.837664763415719,0.467408103907202
22,5,0.785955060334457,0.477379598574655
23,5,0.754795347155034,0.473374021402804
24,5,0.75007959420622,0.441377555553926
25,5,0.75820786817039,0.390123230667885
26,5,0.762342932110646,0.341961317093308
27,5,0.755902380089513,0.312970847583505
28,5,0.743699460351699,0.306422438999463
29,5,0.734455227549231,0.316323420346477
30,5,0.729830525121032,0.331850143168947
1,6,0.999998425470299,0.0761335761918197
2,6,0.999997492117417,0.184436479952765
3,6,0.999995947533672,0.397035652671151
4,6,0.999993412444805,0.646010464788337
5,6,0.999989166087358,0.756008338827817
6,6,0.99998172943337,0.693746828667732
7,6,0.999968289015576,0.583220282516596
8,6,0.999944065057166,0.510754680747962
9,6,0.999900970558097,0.486512242107219
10,6,0.999821664957642,0.488048568235661
11,6,0.999658162784341,0.489328040755931
12,6,0.999267669814567,0.479873685223714
13,6,0.998238172862315,0.468961732947994
14,6,0.995546448719864,0.470359572584665
15,6,0.989457384296108,0.48671026588332
16,6,0.978830312267515,0.505695041430231
17,6,0.964716791101013,0.509235101957092
18,6,0.948054977843983,0.491374163739276
19,6,0.925972573109509,0.465049592206775
20,6,0.892792452064294,0.448304948316281
21,6,0.84638660798783,0.448600253290096
22,6,0.796397822884714,0.458051008462906
23,6,0.760730062595421,0.458633232673769
24,6,0.747476407617246,0.437148943749279
25,6,0.747824235317543,0.398756341922085
26,6,0.747951569796388,0.361384097463116
27,6,0.741532092682593,0.339504724432548
28,6,0.731694168839399,0.336734003803786
29,6,0.724012621778484,0.347481818133211
30,6,0.717047626999039,0.361395737752567
1,7,0.999997856594217,0.0521470950426794
2,7,0.99999656716977,0.125298377537665
3,7,0.999994450910119,0.279684803264927
4,7,0.999990993482287,0.494167325053118
5,7,0.999985261001412,0.64534525190494
6,7,0.99997543848279,0.656614183119432
7,7,0.999958131650553,0.589268556095388
8,7,0.999927274490423,0.523742803564005
9,7,0.99987122943749,0.487017731314819
10,7,0.999762556997381,0.471248340380363
11,7,0.999524574786828,0.46189786891619
12,7,0.998930122857174,0.45371358436989
13,7,0.997327440250906,0.452503050371253
14,7,0.993142416353532,0.465392669204775
15,7,0.983919815133013,0.490502261465785
16,7,0.968658040366549,0.513787933468688
17,7,0.950093803594491,0.517636438440645
18,7,0.930827390844831,0.497598936382134
19,7,0.908410767582107,0.467564596931488
20,7,0.877236100028302,0.445883662535657
21,7,0.834783540130647,0.440964953356987
22,7,0.787675146444275,0.447783581210068
23,7,0.749331267787902,0.452551444899475
24,7,0.727329498525395,0.443657008599958
25,7,0.716917053738052,0.422151048966598
26,7,0.70841453530572,0.39992972593668
27,7,0.69702632911359,0.388453959586108
28,7,0.684975547708833,0.391099011386201
29,7,0.675399643658628,0.402727736741116
30,7,0.664490843648416,0.413933103870677
1,8,0.999996946541015,0.0380431491116752
2,8,0.999995049894264,0.089709581993123
3,8,0.999991945559548,0.201854252685373
4,8,0.999986875450545,0.375842776058916
5,8,0.999978500015733,0.536791861381678
6,8,0.999964295949134,0.601393792760327
7,8,0.999939475403232,0.578076394491929
8,8,0.999894798728628,0.525991619375708
9,8,0.999810681920821,0.482462171588225
10,8,0.999639002755289,0.455085933365514
11,8,0.999247193275685,0.440429786240323
12,8,0.99825381844228,0.436844971142124
13,8,0.995609865154809,0.446644990256634
14,8,0.988937622169645,0.4711921020962
15,8,0.974867931834961,0.504516339389497
16,8,0.952562063824665,0.531368563836385
17,8,0.926568302347785,0.535533007457663
18,8,0.90144700377411,0.514356788154659
