"i","j","P_ij","F_ij","sim"
1,9,0.999938720260383,0.0725281529024691,"Sim 1"
2,9,0.999876605424014,0.0725256801760579,"Sim 1"
3,9,0.999751544918161,0.0725207012281511,"Sim 1"
4,9,0.99949979889292,0.0725106769324587,"Sim 1"
5,9,0.998993229179914,0.0724904988868208,"Sim 1"
6,9,0.99797467961095,0.0724498993513779,"Sim 1"
7,9,0.995929862284104,0.0723682797701282,"Sim 1"
8,9,0.99183742884684,0.0722044748934642,"Sim 1"
9,9,0.983697500628559,0.0718768523593335,"Sim 1"
10,9,0.96770453530155,0.0712260417878787,"Sim 1"
11,9,0.937026643943004,0.069950592823803,"Sim 1"
12,9,0.880797077977883,0.0675159416740941,"Sim 1"
13,9,0.785834983042559,0.0630937475466112,"Sim 1"
14,9,0.645656306225796,0.0557415577050179,"Sim 1"
15,9,0.47502081252106,0.0451473439428247,"Sim 1"
16,9,0.310025518872388,0.0326508067851736,"Sim 1"
17,9,0.182425523806357,0.0209650037644012,"Sim 1"
18,9,0.0997504891196852,0.0121838060131361,"Sim 1"
19,9,0.0521535630784178,0.00660920232986631,"Sim 1"
20,9,0.0265969935768658,0.00343982666948252,"Sim 1"
1,1,0.924141819978756,0.205906646116959,"Sim 2"
2,1,0.916827303506078,0.186312038028914,"Sim 2"
3,1,0.908877038985144,0.1685821034391,"Sim 2"
4,1,0.900249510880315,0.152539395202906,"Sim 2"
5,1,0.890903178804387,0.138023352504164,"Sim 2"
6,1,0.880797077977882,0.124888693908535,"Sim 2"
7,1,0.869891525637002,0.113003963338082,"Sim 2"
8,1,0.858148935099512,0.102250214414661,"Sim 2"
9,1,0.845534734916465,0.0925198200045848,"Sim 2"
10,1,0.832018385133924,0.0837153950501002,"Sim 2"
11,1,0.817574476193644,0.075748821906993,"Sim 2"
12,1,0.802183888558582,0.0685403684335893,"Sim 2"
13,1,0.785834983042559,0.0620178900046823,"Sim 2"
14,1,0.768524783499018,0.0561161074638749,"Sim 2"
15,1,0.750260105595118,0.050775953787841,"Sim 2"
16,1,0.731058578630005,0.0459439829237032,"Sim 2"
17,1,0.710949502625004,0.0415718348829719,"Sim 2"
18,1,0.689974481127613,0.0376157517385255,"Sim 2"
19,1,0.668187772168166,0.0340361396805691,"Sim 2"
20,1,0.645656306225795,0.0307971727484774,"Sim 2"
1,2,0.912934227559729,0.205906646116959,"Sim 2"
2,2,0.904650535100891,0.186312038028914,"Sim 2"
3,2,0.895668776880999,0.1685821034391,"Sim 2"
4,2,0.885947618720209,0.152539395202906,"Sim 2"
5,2,0.875446641812584,0.138023352504164,"Sim 2"
6,2,0.864127102990906,0.124888693908535,"Sim 2"
7,2,0.851952801968311,0.113003963338082,"Sim 2"
8,2,0.838891050423415,0.102250214414661,"Sim 2"
9,2,0.82491373183596,0.0925198200045848,"Sim 2"
10,2,0.809998433984687,0.0837153950501002,"Sim 2"
11,2,0.794129628199053,0.075748821906993,"Sim 2"
12,2,0.777299861174691,0.0685403684335893,"Sim 2"
13,2,0.759510916949111,0.0620178900046823,"Sim 2"
14,2,0.740774899182154,0.0561161074638749,"Sim 2"
15,2,0.721115178022863,0.050775953787841,"Sim 2"
16,2,0.700567142473973,0.0459439829237032,"Sim 2"
17,2,0.679178699175393,0.0415718348829719,"Sim 2"
18,2,0.657010462673499,0.0376157517385255,"Sim 2"
19,2,0.634135591010801,0.0340361396805691,"Sim 2"
20,2,0.610639233949222,0.0307971727484774,"Sim 2"
1,3,0.900249510880315,0.205906646116959,"Sim 2"
2,3,0.890903178804387,0.186312038028914,"Sim 2"
3,3,0.880797077977882,0.1685821034391,"Sim 2"
4,3,0.869891525637002,0.152539395202906,"Sim 2"
5,3,0.858148935099512,0.138023352504164,"Sim 2"
6,3,0.845534734916465,0.124888693908535,"Sim 2"
7,3,0.832018385133924,0.113003963338082,"Sim 2"
8,3,0.817574476193644,0.102250214414661,"Sim 2"
9,3,0.802183888558582,0.0925198200045848,"Sim 2"
10,3,0.785834983042559,0.0837153950501002,"Sim 2"
11,3,0.768524783499018,0.075748821906993,"Sim 2"
12,3,0.750260105595118,0.0685403684335893,"Sim 2"
13,3,0.731058578630005,0.0620178900046823,"Sim 2"
14,3,0.710949502625004,0.0561161074638749,"Sim 2"
15,3,0.689974481127613,0.050775953787841,"Sim 2"
16,3,0.668187772168166,0.0459439829237032,"Sim 2"
17,3,0.645656306225796,0.0415718348829719,"Sim 2"
18,3,0.622459331201855,0.0376157517385255,"Sim 2"
19,3,0.598687660112452,0.0340361396805691,"Sim 2"
20,3,0.574442516811659,0.0307971727484774,"Sim 2"
1,4,0.885947618720209,0.205906646116959,"Sim 2"
2,4,0.875446641812584,0.186312038028914,"Sim 2"
3,4,0.864127102990906,0.1685821034391,"Sim 2"
4,4,0.851952801968311,0.152539395202906,"Sim 2"
5,4,0.838891050423415,0.138023352504164,"Sim 2"
6,4,0.82491373183596,0.124888693908535,"Sim 2"
7,4,0.809998433984687,0.113003963338082,"Sim 2"
8,4,0.794129628199053,0.102250214414661,"Sim 2"
9,4,0.777299861174691,0.0925198200045848,"Sim 2"
10,4,0.759510916949111,0.0837153950501002,"Sim 2"
11,4,0.740774899182154,0.075748821906993,"Sim 2"
12,4,0.721115178022863,0.0685403684335893,"Sim 2"
13,4,0.700567142473973,0.0620178900046823,"Sim 2"
14,4,0.679178699175393,0.0561161074638749,"Sim 2"
15,4,0.657010462673499,0.050775953787841,"Sim 2"
16,4,0.634135591010801,0.0459439829237032,"Sim 2"
17,4,0.610639233949222,0.0415718348829719,"Sim 2"
18,4,0.58661757891733,0.0376157517385255,"Sim 2"
19,4,0.562176500885798,0.0340361396805691,"Sim 2"
20,4,0.537429845343749,0.0307971727484774,"Sim 2"
1,5,0.869891525637002,0.205906646116959,"Sim 2"
2,5,0.858148935099512,0.186312038028914,"Sim 2"
3,5,0.845534734916465,0.1685821034391,"Sim 2"
4,5,0.832018385133924,0.152539395202906,"Sim 2"
5,5,0.817574476193644,0.138023352504164,"Sim 2"
6,5,0.802183888558582,0.124888693908535,"Sim 2"
7,5,0.785834983042559,0.113003963338082,"Sim 2"
8,5,0.768524783499018,0.102250214414661,"Sim 2"
9,5,0.750260105595118,0.0925198200045848,"Sim 2"
10,5,0.731058578630005,0.0837153950501002,"Sim 2"
11,5,0.710949502625004,0.075748821906993,"Sim 2"
12,5,0.689974481127612,0.0685403684335893,"Sim 2"
13,5,0.668187772168166,0.0620178900046823,"Sim 2"
14,5,0.645656306225795,0.0561161074638749,"Sim 2"
15,5,0.622459331201855,0.050775953787841,"Sim 2"
16,5,0.598687660112452,0.0459439829237032,"Sim 2"
17,5,0.574442516811659,0.0415718348829719,"Sim 2"
18,5,0.549833997312478,0.0376157517385255,"Sim 2"
19,5,0.52497918747894,0.0340361396805691,"Sim 2"
20,5,0.5,0.0307971727484774,"Sim 2"
1,6,0.85195280196831,0.205906646116959,"Sim 2"
2,6,0.838891050423415,0.186312038028914,"Sim 2"
3,6,0.82491373183596,0.1685821034391,"Sim 2"
4,6,0.809998433984687,0.152539395202906,"Sim 2"
5,6,0.794129628199053,0.138023352504164,"Sim 2"
6,6,0.777299861174691,0.124888693908535,"Sim 2"
7,6,0.759510916949111,0.113003963338082,"Sim 2"
8,6,0.740774899182154,0.102250214414661,"Sim 2"
9,6,0.721115178022863,0.0925198200045848,"Sim 2"
10,6,0.700567142473973,0.0837153950501002,"Sim 2"
11,6,0.679178699175393,0.075748821906993,"Sim 2"
12,6,0.657010462673499,0.0685403684335893,"Sim 2"
13,6,0.634135591010801,0.0620178900046823,"Sim 2"
14,6,0.610639233949222,0.0561161074638749,"Sim 2"
15,6,0.58661757891733,0.050775953787841,"Sim 2"
16,6,0.562176500885798,0.0459439829237032,"Sim 2"
17,6,0.537429845343749,0.0415718348829719,"Sim 2"
18,6,0.51249739648421,0.0376157517385255,"Sim 2"
19,6,0.48750260351579,0.0340361396805691,"Sim 2"
20,6,0.46257015465625,0.0307971727484774,"Sim 2"
1,7,0.832018385133924,0.205906646116959,"Sim 2"
2,7,0.817574476193644,0.186312038028914,"Sim 2"
3,7,0.802183888558582,0.1685821034391,"Sim 2"
4,7,0.785834983042559,0.152539395202906,"Sim 2"
5,7,0.768524783499018,0.138023352504164,"Sim 2"
6,7,0.750260105595118,0.124888693908535,"Sim 2"
7,7,0.731058578630005,0.113003963338082,"Sim 2"
8,7,0.710949502625004,0.102250214414661,"Sim 2"
9,7,0.689974481127612,0.0925198200045848,"Sim 2"
10,7,0.668187772168166,0.0837153950501002,"Sim 2"
11,7,0.645656306225795,0.075748821906993,"Sim 2"
12,7,0.622459331201854,0.0685403684335893,"Sim 2"
13,7,0.598687660112452,0.0620178900046823,"Sim 2"
14,7,0.574442516811659,0.0561161074638749,"Sim 2"
15,7,0.549833997312478,0.050775953787841,"Sim 2"
16,7,0.52497918747894,0.0459439829237032,"Sim 2"
17,7,0.5,0.0415718348829719,"Sim 2"
18,7,0.47502081252106,0.0376157517385255,"Sim 2"
19,7,0.450166002687522,0.0340361396805691,"Sim 2"
20,7,0.425557483188341,0.0307971727484774,"Sim 2"
1,8,0.809998433984687,0.205906646116959,"Sim 2"
2,8,0.794129628199053,0.186312038028914,"Sim 2"
3,8,0.777299861174691,0.1685821034391,"Sim 2"
4,8,0.759510916949111,0.152539395202906,"Sim 2"
5,8,0.740774899182154,0.138023352504164,"Sim 2"
6,8,0.721115178022863,0.124888693908535,"Sim 2"
7,8,0.700567142473973,0.113003963338082,"Sim 2"
8,8,0.679178699175393,0.102250214414661,"Sim 2"
9,8,0.657010462673499,0.0925198200045848,"Sim 2"
10,8,0.634135591010801,0.0837153950501002,"Sim 2"
11,8,0.610639233949222,0.075748821906993,"Sim 2"
12,8,0.58661757891733,0.0685403684335893,"Sim 2"
13,8,0.562176500885798,0.0620178900046823,"Sim 2"
14,8,0.537429845343749,0.0561161074638749,"Sim 2"
15,8,0.51249739648421,0.050775953787841,"Sim 2"
16,8,0.48750260351579,0.0459439829237032,"Sim 2"
17,8,0.462570154656251,0.0415718348829719,"Sim 2"
18,8,0.437823499114202,0.0376157517385255,"Sim 2"
19,8,0.41338242108267,0.0340361396805691,"Sim 2"
20,8,0.389360766050778,0.0307971727484774,"Sim 2"
1,9,0.785834983042559,0.205906646116959,"Sim 2"
2,9,0.768524783499018,0.186312038028914,"Sim 2"
3,9,0.750260105595118,0.1685821034391,"Sim 2"
4,9,0.731058578630005,0.152539395202906,"Sim 2"
