"i","j","P_ij","F_ij","sim"
12,3,0.598687660112452,0.250644632190657,"Sim 3"
13,3,0.598687660112452,0.250644632190657,"Sim 3"
14,3,0.598687660112452,0.250644632190657,"Sim 3"
15,3,0.598687660112452,0.250644632190657,"Sim 3"
16,3,0.598687660112452,0.250644632190657,"Sim 3"
17,3,0.598687660112452,0.250644632190657,"Sim 3"
18,3,0.598687660112452,0.250644632190657,"Sim 3"
19,3,0.598687660112452,0.250644632190657,"Sim 3"
20,3,0.598687660112452,0.250644632190657,"Sim 3"
1,4,0.5,0.250644632190657,"Sim 3"
2,4,0.5,0.250644632190657,"Sim 3"
3,4,0.5,0.250644632190657,"Sim 3"
4,4,0.5,0.250644632190657,"Sim 3"
5,4,0.5,0.250644632190657,"Sim 3"
6,4,0.5,0.250644632190657,"Sim 3"
7,4,0.5,0.250644632190657,"Sim 3"
8,4,0.5,0.250644632190657,"Sim 3"
9,4,0.5,0.250644632190657,"Sim 3"
10,4,0.5,0.250644632190657,"Sim 3"
11,4,0.5,0.250644632190657,"Sim 3"
12,4,0.5,0.250644632190657,"Sim 3"
13,4,0.5,0.250644632190657,"Sim 3"
14,4,0.5,0.250644632190657,"Sim 3"
15,4,0.5,0.250644632190657,"Sim 3"
16,4,0.5,0.250644632190657,"Sim 3"
17,4,0.5,0.250644632190657,"Sim 3"
18,4,0.5,0.250644632190657,"Sim 3"
19,4,0.5,0.250644632190657,"Sim 3"
20,4,0.5,0.250644632190657,"Sim 3"
1,1,0.425557483188341,0.345758017392513,"Sim 4"
2,1,0.47502081252106,0.422309796099207,"Sim 4"
3,1,0.52497918747894,0.515810349753631,"Sim 4"
4,1,0.574442516811659,0.630012183876647,"Sim 4"
5,1,0.622459331201854,0.769498619061448,"Sim 4"
6,1,0.668187772168166,0.939867735722095,"Sim 4"
7,1,0.710949502625004,1.14795704471672,"Sim 4"
8,1,0.750260105595118,1.4021179006664,"Sim 4"
9,1,0.785834983042559,1.71255067113969,"Sim 4"
10,1,0.817574476193644,2.09171411321906,"Sim 4"
11,1,0.845534734916465,2.55482538716832,"Sim 4"
12,1,0.869891525637002,3.12047077450501,"Sim 4"
13,1,0.890903178804387,3.81135161073862,"Sim 4"
14,1,0.908877038985144,4.65519536967435,"Sim 4"
15,1,0.924141819978756,5.68586846429471,"Sim 4"
16,1,0.937026643943004,6.94473542482548,"Sim 4"
17,1,0.947846436921582,8.48231900257449,"Sim 4"
18,1,0.956892745058914,10.3603278253389,"Sim 4"
19,1,0.964428810727364,12.6541329813125,"Sim 4"
20,1,0.970687769248644,15.4557929255006,"Sim 4"
1,2,0.331812227831834,0.345758017392513,"Sim 4"
2,2,0.377540668798145,0.422309796099207,"Sim 4"
3,2,0.425557483188341,0.515810349753631,"Sim 4"
4,2,0.47502081252106,0.630012183876647,"Sim 4"
5,2,0.52497918747894,0.769498619061448,"Sim 4"
6,2,0.574442516811659,0.939867735722095,"Sim 4"
7,2,0.622459331201855,1.14795704471672,"Sim 4"
8,2,0.668187772168166,1.4021179006664,"Sim 4"
9,2,0.710949502625004,1.71255067113969,"Sim 4"
10,2,0.750260105595118,2.09171411321906,"Sim 4"
11,2,0.785834983042559,2.55482538716832,"Sim 4"
12,2,0.817574476193644,3.12047077450501,"Sim 4"
13,2,0.845534734916465,3.81135161073862,"Sim 4"
14,2,0.869891525637002,4.65519536967435,"Sim 4"
15,2,0.890903178804387,5.68586846429471,"Sim 4"
16,2,0.908877038985144,6.94473542482548,"Sim 4"
17,2,0.924141819978757,8.48231900257449,"Sim 4"
18,2,0.937026643943004,10.3603278253389,"Sim 4"
19,2,0.947846436921582,12.6541329813125,"Sim 4"
20,2,0.956892745058914,15.4557929255006,"Sim 4"
1,3,0.249739894404882,0.345758017392513,"Sim 4"
2,3,0.289050497374996,0.422309796099207,"Sim 4"
3,3,0.331812227831834,0.515810349753631,"Sim 4"
4,3,0.377540668798145,0.630012183876647,"Sim 4"
5,3,0.425557483188341,0.769498619061448,"Sim 4"
6,3,0.47502081252106,0.939867735722095,"Sim 4"
7,3,0.52497918747894,1.14795704471672,"Sim 4"
8,3,0.574442516811659,1.4021179006664,"Sim 4"
9,3,0.622459331201855,1.71255067113969,"Sim 4"
10,3,0.668187772168166,2.09171411321906,"Sim 4"
11,3,0.710949502625004,2.55482538716832,"Sim 4"
12,3,0.750260105595118,3.12047077450501,"Sim 4"
13,3,0.785834983042559,3.81135161073862,"Sim 4"
