"i","j","P_ij","F_ij","sim"
16,9,0.450166002687522,0.0172974482282094,"Sim 1"
17,9,0.289050497374996,0.0111066495111421,"Sim 1"
18,9,0.167981614866076,0.00645462622474819,"Sim 1"
19,9,0.0911229610148562,0.00350136325521169,"Sim 1"
20,9,0.0474258731775668,0.00182232016871345,"Sim 1"
1,1,0.869891525637002,0.260440267081568,"Sim 2"
2,1,0.858148935099512,0.235656098818682,"Sim 2"
3,1,0.845534734916465,0.213230455999523,"Sim 2"
4,1,0.832018385133924,0.192938895253239,"Sim 2"
5,1,0.817574476193644,0.174578331819651,"Sim 2"
6,1,0.802183888558582,0.157965007008718,"Sim 2"
7,1,0.785834983042559,0.142932649081801,"Sim 2"
8,1,0.768524783499018,0.129330809148216,"Sim 2"
9,1,0.750260105595118,0.117023355422173,"Sim 2"
10,1,0.731058578630005,0.105887110770104,"Sim 2"
11,1,0.710949502625004,0.0958106199125084,"Sim 2"
12,1,0.689974481127612,0.0866930339420588,"Sim 2"
13,1,0.668187772168166,0.0784431009938363,"Sim 2"
14,1,0.645656306225795,0.0709782529659968,"Sim 2"
15,1,0.622459331201855,0.0642237791504558,"Sim 2"
16,1,0.598687660112452,0.0581120785030101,"Sim 2"
17,1,0.574442516811659,0.0525819830693667,"Sim 2"
18,1,0.549833997312478,0.0475781457956963,"Sim 2"
19,1,0.52497918747894,0.0430504865967163,"Sim 2"
20,1,0.5,0.0389536911373644,"Sim 2"
1,2,0.869891525637002,0.241837390861456,"Sim 2"
2,2,0.858148935099512,0.218823520331633,"Sim 2"
3,2,0.845534734916465,0.197999709142414,"Sim 2"
4,2,0.832018385133924,0.179157545592293,"Sim 2"
5,2,0.817574476193644,0.16210845097539,"Sim 2"
6,2,0.802183888558582,0.146681792222381,"Sim 2"
7,2,0.785834983042559,0.132723174147386,"Sim 2"
8,2,0.768524783499018,0.120092894209058,"Sim 2"
9,2,0.750260105595118,0.10866454432059,"Sim 2"
10,2,0.731058578630005,0.0983237457150964,"Sim 2"
11,2,0.710949502625004,0.0889670042044721,"Sim 2"
12,2,0.689974481127612,0.0805006743747689,"Sim 2"
13,2,0.668187772168166,0.0728400223514194,"Sim 2"
14,2,0.645656306225795,0.0659083777541399,"Sim 2"
15,2,0.622459331201855,0.0596363663539947,"Sim 2"
16,2,0.598687660112452,0.0539612157527951,"Sim 2"
17,2,0.574442516811659,0.0488261271358405,"Sim 2"
18,2,0.549833997312478,0.0441797068102894,"Sim 2"
19,2,0.52497918747894,0.0399754518398079,"Sim 2"
20,2,0.5,0.0361712846275527,"Sim 2"
1,3,0.869891525637002,0.223234514641344,"Sim 2"
2,3,0.858148935099512,0.201990941844584,"Sim 2"
3,3,0.845534734916465,0.182768962285305,"Sim 2"
4,3,0.832018385133924,0.165376195931347,"Sim 2"
5,3,0.817574476193644,0.149638570131129,"Sim 2"
6,3,0.802183888558582,0.135398577436044,"Sim 2"
7,3,0.785834983042559,0.122513699212972,"Sim 2"
8,3,0.768524783499018,0.1108549792699,"Sim 2"
9,3,0.750260105595118,0.100305733219006,"Sim 2"
10,3,0.731058578630005,0.090760380660089,"Sim 2"
11,3,0.710949502625004,0.0821233884964358,"Sim 2"
12,3,0.689974481127612,0.074308314807479,"Sim 2"
13,3,0.668187772168166,0.0672369437090026,"Sim 2"
14,3,0.645656306225795,0.060838502542283,"Sim 2"
15,3,0.622459331201855,0.0550489535575335,"Sim 2"
16,3,0.598687660112452,0.0498103530025801,"Sim 2"
17,3,0.574442516811659,0.0450702712023143,"Sim 2"
18,3,0.549833997312478,0.0407812678248825,"Sim 2"
19,3,0.52497918747894,0.0369004170828996,"Sim 2"
20,3,0.5,0.0333888781177409,"Sim 2"
1,4,0.869891525637002,0.204631638421232,"Sim 2"
2,4,0.858148935099512,0.185158363357536,"Sim 2"
3,4,0.845534734916465,0.167538215428197,"Sim 2"
4,4,0.832018385133924,0.151594846270402,"Sim 2"
5,4,0.817574476193644,0.137168689286869,"Sim 2"
6,4,0.802183888558582,0.124115362649707,"Sim 2"
7,4,0.785834983042559,0.112304224278558,"Sim 2"
8,4,0.768524783499018,0.101617064330741,"Sim 2"
9,4,0.750260105595118,0.091946922117422,"Sim 2"
10,4,0.731058578630005,0.0831970156050816,"Sim 2"
11,4,0.710949502625004,0.0752797727883995,"Sim 2"
12,4,0.689974481127612,0.0681159552401891,"Sim 2"
13,4,0.668187772168166,0.0616338650665857,"Sim 2"
14,4,0.645656306225795,0.0557686273304261,"Sim 2"
15,4,0.622459331201855,0.0504615407610724,"Sim 2"
16,4,0.598687660112452,0.0456594902523651,"Sim 2"
17,4,0.574442516811659,0.0413144152687881,"Sim 2"
18,4,0.549833997312478,0.0373828288394756,"Sim 2"
19,4,0.52497918747894,0.0338253823259913,"Sim 2"
20,4,0.5,0.0306064716079292,"Sim 2"
1,5,0.869891525637002,0.18602876220112,"Sim 2"
2,5,0.858148935099512,0.168325784870487,"Sim 2"
